run	time	firm	entrant	price	output	mcosts	profits	rule	N	K	firms	theta	global	rule_pram
1	3	20	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	4	1	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	4	2	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	4	3	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	4	4	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	4	5	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	4	6	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	4	7	1	0.749	0.019	0.730	0.000	0.00	20	10	20	0.85	0.208	0.600
1	4	8	1	0.749	0.046	0.703	0.002	1.00	20	10	20	0.85	0.208	0.600
1	4	9	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	4	10	1	0.749	0.097	0.652	0.009	1.00	20	10	20	0.85	0.208	0.600
1	4	11	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	4	12	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	4	13	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	4	14	1	0.749	0.088	0.661	0.008	0.00	20	10	20	0.85	0.208	0.600
1	4	15	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	4	16	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	4	17	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	4	18	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	4	19	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	4	20	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	5	1	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	5	2	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	5	3	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	5	4	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	5	5	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	5	6	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	5	7	1	0.695	0.095	0.601	0.009	0.00	20	10	20	0.85	0.208	0.600
1	5	8	1	0.695	0.043	0.652	0.002	1.00	20	10	20	0.85	0.208	0.600
1	5	9	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	5	10	1	0.695	0.043	0.652	0.002	1.00	20	10	20	0.85	0.208	0.600
1	5	11	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	5	12	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	5	13	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	5	14	1	0.695	0.123	0.572	0.015	0.00	20	10	20	0.85	0.208	0.600
1	5	15	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	5	16	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	5	17	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	5	18	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	5	19	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	5	20	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
